"location_id","make","type","subtype","euro_status","count_vehicles"
12,"PIAGGIO","LCVs","Car-Derived/Integral <2000 Kgs","E3","1"
12,"PORSCHE","CARS","exc. Off-Road","E0","1"
12,"PORSCHE","CARS","exc. Off-Road","E3","1"
12,"PORSCHE","CARS","exc. Off-Road","E4","1"
12,"PORSCHE","CARS","exc. Off-Road","E5","2"
12,"PORSCHE","CARS","exc. Off-Road","E6","2"
12,"PORSCHE","CARS","exc. Off-Road","","1"
12,"PORSCHE","CARS","Off-Road","E5","2"
12,"PORSCHE","CARS","Off-Road","E6","11"
12,"PORSCHE","CARS","Off-Road","","1"
12,"RENAULT","CARS","exc. Off-Road","6","1"
12,"RENAULT","CARS","exc. Off-Road","E1","1"
12,"RENAULT","CARS","exc. Off-Road","E3","21"
12,"RENAULT","CARS","exc. Off-Road","E4","33"
12,"RENAULT","CARS","exc. Off-Road","E5","19"
12,"RENAULT","CARS","exc. Off-Road","E6","10"
12,"RENAULT","CARS","exc. Off-Road","","2"
12,"RENAULT","LCVs","Car-Derived/Integral <2000 Kgs","E3","2"
12,"RENAULT","LCVs","Heavy Vans 2601-3500 Kgs","E3","1"
12,"RENAULT","LCVs","Heavy Vans 2601-3500 Kgs","E4","8"
12,"RENAULT","LCVs","Heavy Vans 2601-3500 Kgs","E5","4"
12,"RENAULT","LCVs","Heavy Vans 2601-3500 Kgs","E6","1"
12,"RENAULT","LCVs","Medium Vans 2001-2600 Kgs","E4","1"
12,"RENAULT","LCVs","Medium Vans 2001-2600 Kgs","E5","1"
12,"RENAULT","","","","1"
12,"RENAULT TRUCKS","LCVs","Heavy Vans 2601-3500 Kgs","E3","1"
12,"RENAULT TRUCKS","LCVs","Heavy Vans 2601-3500 Kgs","E5","1"
12,"ROVER","CARS","exc. Off-Road","E0","2"
12,"ROVER","CARS","exc. Off-Road","E1","1"
12,"ROVER","CARS","exc. Off-Road","E2","1"
12,"ROVER","CARS","exc. Off-Road","E3","3"
12,"ROVER","CARS","exc. Off-Road","","6"
12,"SAAB","CARS","exc. Off-Road","E0","1"
12,"SAAB","CARS","exc. Off-Road","E2","2"
12,"SAAB","CARS","exc. Off-Road","E3","5"
12,"SAAB","CARS","exc. Off-Road","E4","10"
12,"SAAB","CARS","exc. Off-Road","E5","1"
12,"SAAB","CARS","exc. Off-Road","","3"
12,"SCANIA","HCVs","Rigids 2 Axle >15000 Kgs","E4","1"
12,"SEAT","CARS","exc. Off-Road","E3","7"
12,"SEAT","CARS","exc. Off-Road","E4","8"
12,"SEAT","CARS","exc. Off-Road","E5","25"
12,"SEAT","CARS","exc. Off-Road","E6","9"
12,"SEAT","","","","1"
12,"SKODA","CARS","exc. Off-Road","E3","9"
