"location_id","make","type","subtype","euro_status","count_vehicles"
12,"JAGUAR","CARS","exc. Off-Road","E3","1"
12,"JAGUAR","CARS","exc. Off-Road","E4","24"
12,"JAGUAR","CARS","exc. Off-Road","E5","25"
12,"JAGUAR","CARS","exc. Off-Road","E6","24"
12,"JAGUAR","CARS","exc. Off-Road","","5"
12,"JCB","SPVs","Agricultural & Specialist","","2"
12,"JEEP","CARS","Off-Road","E1","1"
12,"JEEP","CARS","Off-Road","E2","4"
12,"JEEP","CARS","Off-Road","E4","1"
12,"JEEP","CARS","Off-Road","E6","1"
12,"JEEP","CARS","Off-Road","","1"
12,"JEEP","","","","1"
12,"KIA","CARS","exc. Off-Road","E3","1"
12,"KIA","CARS","exc. Off-Road","E4","17"
12,"KIA","CARS","exc. Off-Road","E5","86"
12,"KIA","CARS","exc. Off-Road","E6","45"
12,"KIA","CARS","exc. Off-Road","","3"
12,"KIA","CARS","Off-Road","E4","1"
12,"KIA","CARS","Off-Road","E5","6"
12,"KIA","CARS","Off-Road","E6","39"
12,"KIA","CARS","Off-Road","","1"
12,"KIA","","","","7"
12,"LAND ROVER","CARS","Off-Road","E1","1"
12,"LAND ROVER","CARS","Off-Road","E4","44"
12,"LAND ROVER","CARS","Off-Road","E5","137"
12,"LAND ROVER","CARS","Off-Road","E6","118"
12,"LAND ROVER","CARS","Off-Road","","45"
12,"LAND ROVER","LCVs","4x4 Utilities","E0","6"
12,"LAND ROVER","LCVs","4x4 Utilities","E1","9"
12,"LAND ROVER","LCVs","4x4 Utilities","E2","2"
12,"LAND ROVER","LCVs","4x4 Utilities","E3","6"
12,"LAND ROVER","LCVs","4x4 Utilities","E4","4"
12,"LAND ROVER","LCVs","4x4 Utilities","E5","6"
12,"LAND ROVER","LCVs","Car-Derived/Integral <2000 Kgs","E5","1"
12,"LAND ROVER","","","","19"
12,"LDV","LCVs","Heavy Vans 2601-3500 Kgs","E3","1"
12,"LDV","LCVs","Heavy Vans 2601-3500 Kgs","E4","3"
12,"LDV","LCVs","Medium Vans 2001-2600 Kgs","E2","1"
12,"LEXUS","CARS","exc. Off-Road","E4","14"
12,"LEXUS","CARS","exc. Off-Road","E5","2"
12,"LEXUS","CARS","exc. Off-Road","E6","1"
12,"LEXUS","CARS","exc. Off-Road","","8"
12,"LEXUS","CARS","Off-Road","E4","44"
12,"LEXUS","CARS","Off-Road","E6","9"
12,"LEXUS","CARS","Off-Road","","4"
12,"LOTUS","","","","1"
12,"MAN","HCVs","Artics >32520 Kgs - 2 Axle Tractor","E4","1"
12,"MAN","HCVs","Rigids 2 Axle 7401-7500 Kgs","E5","2"
12,"MAN","HCVs","Rigids 2 Axle 7501-12000 Kgs","E4","1"
12,"MASSEY FERGUSON/HARRIS","SPVs","Agricultural & Specialist","","1"
12,"MAZDA","CARS","exc. Off-Road","E3","18"
12,"MAZDA","CARS","exc. Off-Road","E4","99"
12,"MAZDA","CARS","exc. Off-Road","E5","50"
12,"MAZDA","CARS","exc. Off-Road","E6","50"
12,"MAZDA","CARS","exc. Off-Road","","10"
12,"MAZDA","CARS","Off-Road","E5","5"
12,"MAZDA","CARS","Off-Road","E6","15"
12,"MAZDA","LCVs","Heavy Vans 2601-3500 Kgs","E2","1"
12,"MAZDA","","","","17"
12,"MERCEDES","CARS","exc. Off-Road","E0","13"
12,"MERCEDES","CARS","exc. Off-Road","E1","3"
12,"MERCEDES","CARS","exc. Off-Road","E2","8"
12,"MERCEDES","CARS","exc. Off-Road","E3","14"
12,"MERCEDES","CARS","exc. Off-Road","E4","75"
12,"MERCEDES","CARS","exc. Off-Road","E5","143"
12,"MERCEDES","CARS","exc. Off-Road","E6","126"
12,"MERCEDES","CARS","exc. Off-Road","","28"
12,"MERCEDES","CARS","Off-Road","E5","17"
12,"MERCEDES","CARS","Off-Road","E6","51"
12,"MERCEDES","CARS","Off-Road","","3"
12,"MERCEDES","HCVs","Artics >32520 Kgs - 2 Axle Tractor","E3","1"
12,"MERCEDES","HCVs","Rigids 2 Axle 3501-7400 Kgs","E4","3"
12,"MERCEDES","HCVs","Rigids 2 Axle 3501-7400 Kgs","E5","4"
12,"MERCEDES","HCVs","Rigids 2 Axle 7501-12000 Kgs","E3","1"
12,"MERCEDES","LCVs","Heavy Vans 2601-3500 Kgs","E3","1"
12,"MERCEDES","LCVs","Heavy Vans 2601-3500 Kgs","E4","7"
12,"MERCEDES","LCVs","Heavy Vans 2601-3500 Kgs","E5","47"
12,"MERCEDES","LCVs","Heavy Vans 2601-3500 Kgs","E6","26"
12,"MERCEDES","LCVs","Medium Vans 2001-2600 Kgs","E5","8"
12,"MERCEDES","","","","1"
12,"MERCEDES-BENZ","","","","10"
12,"MG","CARS","exc. Off-Road","E3","10"
12,"MG","CARS","exc. Off-Road","","2"
12,"MINI","CARS","exc. Off-Road","E3","24"
12,"MINI","CARS","exc. Off-Road","E4","65"
12,"MINI","CARS","exc. Off-Road","E5","191"
12,"MINI","CARS","exc. Off-Road","E6","120"
12,"MINI","CARS","exc. Off-Road","","13"
12,"MINI","","","","3"
12,"MITSUBISHI","CARS","exc. Off-Road","E2","2"
12,"MITSUBISHI","CARS","exc. Off-Road","E3","5"
12,"MITSUBISHI","CARS","exc. Off-Road","E4","4"
12,"MITSUBISHI","CARS","exc. Off-Road","E5","20"
12,"MITSUBISHI","CARS","exc. Off-Road","","12"
12,"MITSUBISHI","CARS","Off-Road","E4","3"
12,"MITSUBISHI","CARS","Off-Road","E5","21"
